ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.98,40.34,-0.057999999999999996,-0.04,22.058000000000003,-207.23,146.73,-1039.05,-74.74,-14.27,4.92,84.6,475.65,22.5,26.81,26.36,23.78
0.99,40.35,-0.054000000000000006,-0.034,22.051,-259.22,144.07,-1007.32,-78.57,-8.0,-11.91,84.4,475.58,22.509,27.02,26.5,23.84
1.0,40.36,-0.057999999999999996,-0.033,22.053,-306.89,141.7,-983.02,-72.11,3.68,-29.23,84.14,475.71,22.51,26.89,26.5,23.73
1.01,40.37,-0.061,-0.033,22.055,-336.67,142.26,-972.68,-56.96,17.84,-42.55,84.19,476.12,22.496,26.73,26.3,23.66
1.02,40.36,-0.063,-0.039,22.055,-337.47,140.75,-980.5,-38.34,27.41,-47.7,83.94,476.33,22.478,26.75,26.67,23.61
1.03,40.35,-0.067,-0.034,22.053,-309.36,141.75,-1009.46,-18.48,34.76,-44.0,84.35,476.53,22.463,26.81,26.39,23.7
1.04,40.35,-0.063,-0.024,22.049,-259.42,143.88,-1050.33,-2.24,32.18,-32.55,84.09,476.81,22.453000000000003,26.89,26.52,23.95
1.05,40.34,-0.061,-0.013999999999999999,22.043000000000003,-199.48,146.43,-1088.95,4.66,23.97,-16.17,84.14,476.94,22.441,26.95,26.5,23.81
1.06,40.34,-0.055999999999999994,-0.033,22.055,-149.57,147.67,-1117.15,1.95,13.19,0.82,84.14,476.74,22.451,26.95,26.48,23.69
1.07,40.34,-0.073,-0.033,22.049,-117.65,149.94,-1122.65,-12.06,1.88,15.35,83.89,476.6,22.455,27.05,26.36,23.61
1.08,40.33,-0.05,-0.036000000000000004,22.054000000000002,-105.5,149.47,-1117.16,-29.58,-5.07,23.71,83.94,476.4,22.462,26.86,26.44,23.82
1.09,40.33,-0.064,-0.033,22.055,-113.37,150.41,-1094.57,-49.82,-9.88,23.33,84.19,476.26,22.468000000000004,26.83,26.42,23.66
1.1,40.33,-0.057999999999999996,-0.024,22.046999999999997,-139.56,148.69,-1062.17,-67.37,-10.69,14.03,84.14,476.12,22.475,26.81,26.45,23.55
1.11,40.33,-0.066,-0.03,22.052,-176.68,144.6,-1025.43,-78.08,-9.26,-0.95,84.14,476.06,22.476,26.73,26.48,23.58
1.12,40.32,-0.051,-0.031,22.052,-221.01,141.44,-997.54,-76.98,-4.71,-18.62,83.94,476.06,22.473000000000003,26.73,26.45,23.76
1.13,40.32,-0.064,-0.044000000000000004,22.061999999999998,-260.64,138.6,-979.7,-66.67,0.74,-34.11,83.79,476.19,22.464000000000002,26.61,26.55,23.73
1.14,40.32,-0.055999999999999994,-0.036000000000000004,22.048000000000002,-293.93,136.97,-974.76,-50.2,9.6,-45.39,83.79,476.12,22.467,26.68,26.52,23.61
1.15,40.31,-0.063,-0.02,22.051,-306.54,133.76,-987.4,-31.72,17.88,-47.78,83.69,476.26,22.458000000000002,26.73,26.53,23.66
1.16,40.31,-0.066,-0.031,22.058000000000003,-292.04,136.25,-1023.42,-12.05,24.43,-40.56,83.44,476.4,22.449,26.84,26.52,23.66
1.17,40.29,-0.064,-0.033,22.051,-259.82,141.17,-1061.37,0.63,25.54,-27.44,83.33,476.4,22.439,26.92,26.5,23.6
1.18,40.29,-0.063,-0.033,22.051,-215.49,143.73,-1098.13,4.44,20.16,-10.44,83.28,476.26,22.443,27.11,26.59,23.69
1.19,40.29,-0.063,-0.039,22.059,-171.34,147.54,-1115.0,-3.17,12.89,6.92,83.23,476.26,22.443,26.99,26.52,23.64
6.3,40.4,-0.064,-0.025,22.678,-195.41,3.83,-132.12,-73.79,18.77,-38.13,82.93,464.29,23.085,26.19,26.27,23.16
6.31,40.39,-0.057999999999999996,-0.034,22.68,-187.19,4.54,-141.99,-55.35,13.06,-42.0,82.93,464.7,23.059,26.27,26.28,23.14
6.32,40.39,-0.054000000000000006,-0.037000000000000005,22.680999999999997,-182.36,7.75,-162.75,-36.73,6.4,-38.18,82.83,464.77,23.058000000000003,26.29,26.31,23.16
6.33,40.39,-0.061,-0.034,22.68,-185.47,9.91,-190.68,-22.36,1.56,-28.11,82.78,464.77,23.055999999999997,26.46,26.5,23.16
6.34,40.39,-0.054000000000000006,-0.039,22.678,-187.48,10.65,-214.76,-15.42,-1.26,-12.52,82.83,464.64,23.065,26.35,26.27,23.28
6.35,40.38,-0.057,-0.036000000000000004,22.678,-189.91,12.4,-226.78,-18.16,-0.97,3.28,82.88,464.57,23.063000000000002,26.32,26.36,23.22
6.36,40.37,-0.055999999999999994,-0.036000000000000004,22.676,-187.86,13.4,-226.54,-29.27,-0.18,16.89,82.78,464.7,23.048000000000002,26.34,26.42,23.13
6.37,40.36,-0.057,-0.034,22.682,-178.77,11.52,-216.37,-46.37,-0.43,24.88,82.78,464.7,23.043000000000003,26.3,26.44,23.11
6.38,40.35,-0.06,-0.037000000000000005,22.680999999999997,-172.92,9.08,-197.64,-66.51,-0.67,24.36,82.78,464.84,23.031,26.29,26.3,23.05
6.39,40.33,-0.066,-0.03,22.678,-176.15,7.92,-181.0,-82.34,0.03,15.2,82.83,464.77,23.024,26.18,26.48,23.14
6.4,40.32,-0.061,-0.039,22.67,-183.94,9.48,-163.82,-91.34,5.44,0.83,82.73,464.57,23.029,26.21,26.36,23.08
6.41,40.3,-0.054000000000000006,-0.027999999999999997,22.669,-190.73,8.7,-146.22,-92.34,11.67,-15.0,82.83,464.29,23.029,26.29,26.35,23.14
6.42,40.29,-0.061,-0.027000000000000003,22.673000000000002,-191.86,6.25,-133.45,-85.47,15.78,-29.45,82.78,464.09,23.034000000000002,26.06,26.31,23.04
6.43,40.28,-0.069,-0.031,22.68,-186.17,5.46,-131.96,-71.09,15.2,-38.53,82.73,463.88,23.039,26.3,26.22,23.34
6.44,40.26,-0.064,-0.027000000000000003,22.675,-181.69,6.5,-139.31,-53.82,12.51,-41.81,82.73,463.95,23.025,26.29,25.93,23.19
6.45,40.26,-0.063,-0.022000000000000002,22.669,-178.59,5.33,-161.02,-35.98,4.23,-37.19,82.58,463.82,23.031,26.18,26.35,23.25
6.46,40.25,-0.064,-0.03,22.676,-183.27,7.05,-189.78,-21.63,-0.4,-26.88,82.52,463.75,23.029,26.22,26.33,23.4
6.47,40.25,-0.055999999999999994,-0.037000000000000005,22.677,-188.49,9.92,-212.45,-15.89,-2.58,-11.98,82.52,463.54,23.04,26.27,26.16,23.26
6.48,40.24,-0.063,-0.031,22.678,-190.27,10.19,-226.29,-18.98,1.5,4.4,82.63,463.2,23.051,26.35,26.18,23.31
6.49,40.24,-0.045,-0.04,22.682,-186.11,11.38,-225.27,-31.17,2.95,17.65,82.63,463.47,23.038,26.16,26.08,23.19
6.5,40.24,-0.067,-0.027000000000000003,22.675,-175.84,10.6,-214.61,-48.67,1.18,24.96,82.63,463.61,23.031,26.19,26.22,23.32
6.51,40.25,-0.066,-0.036000000000000004,22.676,-168.28,11.79,-197.08,-67.63,0.44,24.07,82.58,463.88,23.023000000000003,26.24,26.35,23.22
6.52,40.25,-0.061,-0.033,22.679000000000002,-170.14,11.45,-176.6,-83.86,2.21,15.23,82.58,464.16,23.009,26.19,26.35,23.4
6.53,40.26,-0.057999999999999996,-0.034,22.68,-179.97,10.75,-160.48,-92.35,7.1,0.38,82.78,464.02,23.019000000000002,26.21,26.18,23.34
6.54,40.25,-0.06,-0.02,22.671999999999997,-186.05,8.48,-144.66,-92.57,12.93,-15.28,82.52,464.09,23.011999999999997,26.16,26.11,23.05
6.55,40.26,-0.057,-0.071,22.697,-184.82,7.43,-132.96,-84.53,17.85,-29.09,82.63,464.02,23.019000000000002,26.1,26.39,23.1
6.56,40.26,-0.053,-0.03,22.678,-177.82,4.05,-132.18,-70.46,15.99,-38.54,82.83,464.16,23.014,26.14,26.27,23.17
6.57,40.26,-0.064,-0.027999999999999997,22.675,-171.51,3.07,-142.51,-52.94,10.83,-41.47,83.13,464.36,23.004,26.16,26.27,23.35
6.58,40.26,-0.057,-0.04,22.68,-167.05,3.7,-167.35,-34.45,5.74,-36.53,83.54,464.57,22.991,26.22,26.38,23.26
6.59,40.25,-0.064,-0.027999999999999997,22.677,-167.77,7.01,-195.52,-20.28,0.43,-25.12,83.64,464.43,22.993000000000002,26.11,26.31,23.32
6.6,40.25,-0.061,-0.037000000000000005,22.675,-170.08,9.9,-215.09,-16.03,-2.33,-9.7,83.03,464.29,23.002,26.24,26.38,23.34
6.61,40.25,-0.055999999999999994,-0.03,22.656,-171.42,12.92,-228.8,-18.59,-3.69,6.27,83.18,464.09,23.01,26.29,26.33,23.34
6.62,40.24,-0.063,-0.037000000000000005,22.685,-170.6,14.07,-225.75,-31.47,-4.1,18.98,83.13,463.95,23.011,26.22,26.42,23.4
6.63,40.24,-0.057999999999999996,-0.036000000000000004,22.676,-169.7,14.97,-213.54,-48.88,-6.24,25.28,83.54,463.75,23.024,26.24,26.36,23.23
6.64,40.24,-0.06,-0.033,22.680999999999997,-174.44,12.42,-194.94,-68.06,-4.73,23.3,83.79,463.61,23.031,26.19,26.33,23.26
6.65,40.23,-0.069,-0.027000000000000003,22.679000000000002,-186.76,11.32,-177.81,-83.22,1.35,13.29,84.14,463.34,23.037,26.21,26.31,23.26
6.66,40.25,-0.063,-0.03,22.686,-198.83,8.57,-154.99,-93.19,11.14,-1.49,84.3,463.2,23.054000000000002,26.14,26.3,23.31
6.67,40.25,-0.053,-0.027999999999999997,22.675,-200.99,5.95,-140.6,-93.08,17.94,-16.74,84.09,462.93,23.068,26.21,26.21,23.25
6.68,40.27,-0.06,-0.031,22.684,-193.74,4.33,-132.48,-84.41,20.41,-30.07,83.89,463.06,23.070999999999998,26.18,26.33,23.19
6.69,40.28,-0.055999999999999994,-0.031,22.682,-184.7,3.4,-130.65,-70.71,16.6,-39.04,83.79,463.61,23.052,26.26,26.35,23.31
10.8,40.29,-0.061,-0.046,22.504,-302.43,33.89,-339.37,-56.05,12.0,-45.1,83.18,468.12,22.835,26.46,26.45,23.75
10.81,40.29,-0.069,-0.033,22.493000000000002,-303.7,32.6,-360.28,-37.09,4.19,-45.14,83.13,468.12,22.835,26.7,26.33,23.95
10.82,40.29,-0.069,-0.031,22.496,-313.23,33.48,-393.23,-19.38,1.36,-37.11,83.18,467.99,22.842,26.81,26.31,23.6
10.83,40.3,-0.061,-0.027999999999999997,22.500999999999998,-322.19,34.76,-420.06,-11.56,0.09,-22.74,83.13,467.71,22.861,26.72,26.38,23.82
10.84,40.3,-0.066,-0.03,22.493000000000002,-327.37,38.71,-442.43,-10.97,1.58,-6.02,82.98,467.44,22.877,26.84,26.5,23.7
10.85,40.31,-0.063,-0.031,22.494,-323.52,39.73,-449.24,-20.21,1.01,9.5,83.49,467.58,22.873,26.84,26.24,23.63
10.86,40.31,-0.061,-0.031,22.496,-314.13,42.05,-445.34,-35.07,-1.16,20.33,82.93,467.71,22.866,26.83,26.55,23.76
10.87,40.32,-0.054000000000000006,-0.033,22.496,-310.66,43.03,-426.52,-54.79,-5.77,22.73,82.93,467.78,22.868000000000002,26.78,26.5,23.52
10.88,40.32,-0.057999999999999996,-0.025,22.495,-321.45,41.86,-405.78,-71.98,-3.88,16.02,82.98,467.71,22.874000000000002,26.64,26.36,23.87
10.89,40.32,-0.064,-0.013999999999999999,22.487,-340.87,41.49,-381.54,-84.33,7.05,2.27,83.18,467.64,22.877,26.62,26.24,23.61
10.9,40.31,-0.040999999999999995,-0.033,22.496,-350.78,39.26,-359.93,-87.91,19.32,-13.53,82.63,467.64,22.872,26.56,26.27,23.67
10.91,40.32,-0.047,-0.033,22.496,-344.39,34.76,-343.39,-82.97,24.97,-28.47,82.83,467.58,22.88,26.46,26.39,23.58
